Id_hecho,Cantidad_victimas,Fecha,Año,Mes,Dia,Hora,Franja_horaria,Tipo_calle,Calle,Cruce,Direccion_normalizada,Comuna,Pos_x,Pos_y,Acusado,Rol,Victima,Sexo,Edad,Nro_dia_semana,Dia_semana,Fin_semana,Rango_horario
2016-0015,1,2016-02-14,2016,2,14,05:14:00,5,AVENIDA,"SCALABRINI ORTIZ, RAUL AV.",SI,"SCALABRINI ORTIZ, RAUL AV. y VERA",15,-58.43760020,-34.59912758,AUTO,PEATON,PEATON,FEMENINO,16,7,Domingo,SI,3-5.59
2016-0016,1,2016-02-14,2016,2,14,22:00:00,22,AVENIDA,REGIMIENTO DE PATRICIOS AV.,SI,"REGIMIENTO DE PATRICIOS AV. y QUINQUELA MARTIN, BENITO",4,-58.36882665,-34.64291993,AUTO,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,19,7,Domingo,SI,22-23.59
2016-0017,1,2016-02-15,2016,2,15,16:54:00,16,AVENIDA,"ACOSTA, MARIANO",SI,"ACOSTA, MARIANO y JANER, ANA MARIA",8,-58.44989671,-34.65970435,MOTO,PEATON,PEATON,MASCULINO,59,1,Lunes,NO,15-17.59
2016-0019,1,2016-02-17,2016,2,17,09:30:00,9,CALLE,"DE LA TORRE, LISANDRO",SI,"DE LA TORRE, LISANDRO y GARCIA GRANDE DE ZEQUEIRA, SEVERO",9,-58.50990884,-34.65468721,PASAJEROS,PEATON,PEATON,FEMENINO,65,3,Miércoles,NO,9-11.59
2016-0020,1,2016-02-17,2016,2,17,16:00:00,16,CALLE,SUIPACHA,NO,SUIPACHA 156,1,-58.37952223,-34.60653282,AUTO,PEATON,PEATON,MASCULINO,59,3,Miércoles,NO,15-17.59
2016-0021,1,2016-02-17,2016,2,17,23:35:00,23,AVENIDA,DIRECTORIO AV.,SI,DIRECTORIO AV. y CURAPALIGUE,7,-58.45157703,-34.63063795,AUTO,CONDUCTOR,AUTO,MASCULINO,34,3,Miércoles,NO,22-23.59
2016-0022,1,2016-02-21,2016,2,21,06:00:00,6,AVENIDA,9 DE JULIO AV.,SI,"9 DE JULIO AV. y ALSINA, ADOLFO",1,-58.38144696,-34.61079875,AUTO,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,41,7,Domingo,SI,6-8.59
2016-0025,1,2016-02-28,2016,2,28,04:50:00,4,GRAL PAZ,"PAZ, GRAL. AV.",SI,"PAZ, GRAL. AV. y 27 DE FEBRERO AV.",8,-58.46244952,-34.70524971,AUTO,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,34,7,Domingo,SI,3-5.59
2016-0026,1,2016-02-28,2016,2,28,07:30:00,7,CALLE,HOLMBERG,SI,HOLMBERG y VEDIA,12,-58.49216191,-34.54738649,OBJETO FIJO,CONDUCTOR,AUTO,MASCULINO,30,7,Domingo,SI,6-8.59
2016-0027,1,2016-02-28,2016,2,28,09:35:00,9,AVENIDA,CURAPALIGUE AV.,SI,"CURAPALIGUE AV. y DIAZ, AVELINO",7,-58.44497874,-34.63852623,AUTO,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,34,7,Domingo,SI,9-11.59
2016-0028,1,2016-03-02,2016,3,2,10:00:00,10,AVENIDA,VIAMONTE,SI,VIAMONTE y 9 DE JULIO AV.,1,-58.38199706,-34.60028648,CARGAS,PEATON,PEATON,MASCULINO,50,3,Miércoles,NO,9-11.59
2016-0029,1,2016-03-04,2016,3,4,17:30:00,17,AVENIDA,CABILDO AV.,SI,CABILDO AV. y DEHEZA,12,-58.47378664,-34.54153077,PASAJEROS,PEATON,PEATON,MASCULINO,38,5,Viernes,NO,15-17.59
2016-0031,1,2016-03-08,2016,3,8,12:30:00,12,GRAL PAZ,"PAZ, GRAL. AV.",SI,"PAZ, GRAL. AV. y ROCA, CNEL. AV.",8,-58.47064556,-34.69843756,PASAJEROS,CONDUCTOR,MOTO,MASCULINO,21,2,Martes,NO,12-14.59
2016-0034,1,2016-03-12,2016,3,12,12:30:00,12,AVENIDA,"ALCORTA, AMANCIO AV.",SI,"ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",4,-58.40623949,-34.65076549,PASAJEROS,PEATON,PEATON,MASCULINO,52,6,Sábado,SI,12-14.59
2016-0035,1,2016-03-13,2016,3,13,06:00:00,6,AVENIDA,CORRIENTES AV.,SI,CORRIENTES AV. y CALLAO AV.,3,-58.39228965,-34.60443527,PASAJEROS,CONDUCTOR,MOTO,MASCULINO,34,7,Domingo,SI,6-8.59
2016-0036,1,2016-03-14,2016,3,14,00:15:00,0,CALLE,HERRERA,SI,"HERRERA y VALLE, ARISTOBULO DEL",4,-58.37813396,-34.63668504,PASAJEROS,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,36,1,Lunes,NO,0-2.59
2016-0037,1,2016-03-19,2016,3,19,11:00:00,11,AVENIDA,LAFUENTE AV.,SI,LAFUENTE AV. y QUIRNO,7,-58.46275892,-34.64358293,MOTO,CONDUCTOR,MOTO,MASCULINO,20,6,Sábado,SI,9-11.59
2016-0038,1,2016-03-21,2016,3,21,08:06:00,8,GRAL PAZ,"PAZ, GRAL. AV.",SI,"PAZ, GRAL. AV. y ZUVIRIA",8,-58.49683458,-34.67892743,PASAJEROS,PEATON,PEATON,MASCULINO,29,1,Lunes,NO,6-8.59
2016-0039,1,2016-03-23,2016,3,23,01:50:00,1,AVENIDA,"MITRE, BARTOLOME",SI,"MITRE, BARTOLOME y PUEYRREDON AV.",3,-58.40603217,-34.60883960,PASAJEROS,CONDUCTOR,MOTO,MASCULINO,20,3,Miércoles,NO,0-2.59
2016-0041,2,2016-03-29,2016,3,29,11:00:00,11,AVENIDA,DIRECTORIO AV.,SI,DIRECTORIO AV. y RIVERA INDARTE AV.,7,-58.46076550,-34.63350444,CARGAS,CONDUCTOR,MOTO,MASCULINO,54,2,Martes,NO,9-11.59
2016-0041,2,2016-03-29,2016,3,29,11:00:00,11,AVENIDA,DIRECTORIO AV.,SI,DIRECTORIO AV. y RIVERA INDARTE AV.,7,-58.46076550,-34.63350444,CARGAS,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,30,2,Martes,NO,9-11.59
2016-0043,1,2016-03-30,2016,3,30,18:15:00,18,AVENIDA,"DELLEPIANE, LUIS, TTE. GRAL.",SI,"DELLEPIANE, LUIS, TTE. GRAL. y MURGUIONDO",8,-58.47832463,-34.67494416,CARGAS,PEATON,PEATON,FEMENINO,56,3,Miércoles,NO,18-21.59
2016-0044,1,2016-03-31,2016,3,31,19:40:00,19,AVENIDA,"MORENO, JOSE MARIA AV.",SI,"MORENO, JOSE MARIA AV. y BALBASTRO",7,-58.43213235,-34.63693953,MULTIPLE,CONDUCTOR,MOTO,MASCULINO,24,4,Jueves,NO,18-21.59
2016-0045,1,2016-04-11,2016,4,11,10:25:00,10,GRAL PAZ,"PAZ, GRAL. AV.",SI,"PAZ, GRAL. AV. y DEL LIBERTADOR AV.",13,-58.46743471,-34.53476874,AUTO,CONDUCTOR,MOTO,MASCULINO,30,1,Lunes,NO,9-11.59
2016-0047,1,2016-04-15,2016,4,15,05:30:00,5,CALLE,LIMA,NO,LIMA 1483,1,-58.38247061,-34.62571878,PASAJEROS,PEATON,PEATON,MASCULINO,41,5,Viernes,NO,3-5.59
2016-0048,1,2016-04-15,2016,4,15,17:40:00,17,AVENIDA,CORRIENTES AV.,SI,CORRIENTES AV. y DORREGO AV.,15,-58.44759966,-34.59170240,PASAJEROS,PEATON,PEATON,FEMENINO,30,5,Viernes,NO,15-17.59
2016-0049,1,2016-04-17,2016,4,17,00:00:00,0,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,NO,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,4,-58.37714647568196,-34.63657525428238,AUTO,CONDUCTOR,MOTO,MASCULINO,30,7,Domingo,SI,0-2.59
2016-0050,1,2016-04-19,2016,4,19,09:50:00,9,AVENIDA,"GORDILLO, TIMOTEO",SI,"GORDILLO, TIMOTEO y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,-58.47305463,-34.68550712,PASAJEROS,PEATON,PEATON,MASCULINO,78,2,Martes,NO,9-11.59
2016-0051,1,2016-04-20,2016,4,20,04:00:00,4,AVENIDA,"ALCORTA, AMANCIO AV.",SI,"ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",4,-58.40623949,-34.65076549,CARGAS,CONDUCTOR,MOTO,MASCULINO,36,3,Miércoles,NO,3-5.59
2016-0052,1,2016-04-20,2016,4,20,20:00:00,20,AUTOPISTA,"LUGONES, LEOPOLDO AV.",NO,AUTOPISTA LUGONES PK 10000,13,0,0,AUTO,CONDUCTOR,MOTO,MASCULINO,30,3,Miércoles,NO,18-21.59
2016-0053,1,2016-04-22,2016,4,22,09:30:00,9,AVENIDA,TRIUNVIRATO AV.,SI,TRIUNVIRATO AV. y OLAZABAL AV.,12,-58.48429180,-34.57558053,PASAJEROS,PEATON,PEATON,MASCULINO,38,5,Viernes,NO,9-11.59
2016-0054,1,2016-04-23,2016,4,23,21:00:00,21,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,SI,"AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y PAZ, GRAL. AV.",8,-58.48695354,-34.68795245,MOTO,CONDUCTOR,MOTO,MASCULINO,30,6,Sábado,SI,22-23.59
2016-0055,1,2016-04-25,2016,4,25,20:30:00,20,AVENIDA,"CASTILLA, RAMON, MARISCAL",SI,"CASTILLA, RAMON, MARISCAL y FIGUEROA ALCORTA, PRES. AV.",14,-58.40021959,-34.57964781,CARGAS,PEATON,PEATON,MASCULINO,79,1,Lunes,NO,18-21.59
2016-0056,1,2016-04-26,2016,4,26,04:45:00,4,AVENIDA,"CAMPOS, LUIS M. AV.",NO,"CAMPOS, LUIS M. AV. 30",14,-58.42957885,-34.57660058,OBJETO FIJO,CONDUCTOR,MOTO,MASCULINO,26,2,Martes,NO,3-5.59
2016-0058,1,2016-05-04,2016,5,4,14:00:00,14,CALLE,LIMA,NO,LIMA 1471,1,-58.38247542,-34.62556293,MOTO,PEATON,PEATON,FEMENINO,57,3,Miércoles,NO,12-14.59
2016-0059,1,2016-05-08,2016,5,8,16:30:00,16,CALLE,CIUDADELA,SI,CIUDADELA y LIMA,1,-58.38222219,-34.62728101,PASAJEROS,PEATON,PEATON,MASCULINO,37,7,Domingo,SI,15-17.59
2016-0064,1,2016-05-14,2016,5,14,18:11:00,18,AVENIDA,"JUSTO, JUAN B. AV.",SI,"JUSTO, JUAN B. AV. y CARRASCO AV.",10,-58.49485242,-34.62953445,PASAJEROS,PEATON,PEATON,MASCULINO,20,6,Sábado,SI,18-21.59
2016-0065,1,2016-05-20,2016,5,20,14:40:00,14,AVENIDA,GAONA AV.,SI,GAONA AV. y ESPINOSA,6,-58.45227946,-34.61068024,AUTO,PEATON,PEATON,MASCULINO,20,5,Viernes,NO,12-14.59
2016-0067,1,2016-05-21,2016,5,21,17:00:00,17,AVENIDA,"DE LA TORRE, LISANDRO",SI,"DE LA TORRE, LISANDRO y SARAZA",8,-58.48455411,-34.67512760,PASAJEROS,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,30,6,Sábado,SI,15-17.59
2016-0068,1,2016-05-22,2016,5,22,22:00:00,22,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.",SI,"FIGUEROA ALCORTA, PRES. AV. y PUEYRREDON AV.",2,-58.39056593,-34.58418569,PASAJEROS,CONDUCTOR,MOTO,MASCULINO,58,7,Domingo,SI,22-23.59
2016-0069,1,2016-05-23,2016,5,23,03:30:00,3,AVENIDA,ENTRE RIOS AV.,SI,ENTRE RIOS AV. y FILIBERTO,3,-58.39118948,-34.62704273,CARGAS,CONDUCTOR,AUTO,MASCULINO,30,1,Lunes,NO,3-5.59
2016-0073,1,2016-06-11,2016,6,11,15:00:00,15,CALLE,"MAGARI?OS CERVANTES, A.",NO,"MAGARIÃ‘OS CERVANTES, A. 3900",10,-58.49021952,-34.62025108,CARGAS,CONDUCTOR,MOTO,MASCULINO,23,6,Sábado,SI,15-17.59
2016-0074,1,2016-06-12,2016,6,12,06:40:00,6,GRAL PAZ,"PAZ, GRAL. AV.",SI,"PAZ, GRAL. AV. y SCAPINO, RODOLFO",8,-58.49896559,-34.67732118,AUTO,CONDUCTOR,AUTO,MASCULINO,60,7,Domingo,SI,6-8.59
2016-0075,1,2016-06-12,2016,6,12,23:13:00,23,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,SI,AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y MIRALLA,8,-58.47461076,-34.66874679,AUTO,PEATON,PEATON,MASCULINO,42,7,Domingo,SI,22-23.59
2016-0076,1,2016-06-13,2016,6,13,16:20:00,16,AVENIDA,SAN MARTIN AV.,SI,SAN MARTIN AV. y CAMARONES,15,-58.46210891,-34.60356211,PASAJEROS,PEATON,PEATON,FEMENINO,53,1,Lunes,NO,15-17.59
2016-0077,1,2016-06-13,2016,6,13,21:52:00,21,AVENIDA,"PERON, JUAN DOMINGO, TTE. GENERAL",SI,"PERON, JUAN DOMINGO, TTE. GENERAL y ALEM, LEANDRO N. AV.",1,-58.37027770,-34.60536123,PASAJEROS,PEATON,PEATON,FEMENINO,30,1,Lunes,NO,22-23.59
2016-0078,1,2016-06-13,2016,6,13,23:01:00,23,AVENIDA,BELGRANO AV.,SI,BELGRANO AV. y JUJUY AV.,3,-58.40491455,-34.61463830,MOTO,CONDUCTOR,MOTO,MASCULINO,30,1,Lunes,NO,22-23.59
2016-0079,1,2016-06-16,2016,6,16,17:13:00,17,AVENIDA,DEL LIBERTADOR AV.,SI,"DEL LIBERTADOR AV. y UDAONDO, GUILLERMO AV.",13,-58.45504154,-34.54864492,AUTO,CONDUCTOR,AUTO,FEMENINO,51,4,Jueves,NO,15-17.59
2016-0080,1,2016-06-18,2016,6,18,06:42:00,6,GRAL PAZ,"PAZ, GRAL. AV.",SI,"PAZ, GRAL. AV. y RIVADAVIA AV.",9,-58.52927982,-34.63931752,AUTO,CONDUCTOR,AUTO,MASCULINO,60,6,Sábado,SI,6-8.59
2016-0081,1,2016-06-22,2016,6,22,07:42:00,7,AVENIDA,"LARRALDE, CRISOLOGO AV.",SI,"LARRALDE, CRISOLOGO AV. y MACHAIN",12,-58.48721060,-34.55904606,AUTO,CONDUCTOR,MOTO,MASCULINO,40,3,Miércoles,NO,6-8.59
2016-0082,1,2016-06-27,2016,6,27,18:24:00,18,AVENIDA,LA PLATA AV.,NO,LA PLATA AV. 2384,4,-58.42273092,-34.64228803,AUTO,PEATON,PEATON,MASCULINO,87,1,Lunes,NO,18-21.59
2016-0083,1,2016-06-28,2016,6,28,20:46:00,20,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",SI,"ALBERDI, JUAN BAUTISTA AV. y PUAN",6,-58.44788671,-34.62539009,MOTO,PEATON,PEATON,FEMENINO,76,2,Martes,NO,18-21.59
2016-0084,1,2016-06-29,2016,6,29,22:00:00,22,CALLE,"PELLEGRINI, CARLOS",SI,"PELLEGRINI, CARLOS y TUCUMAN",1,-58.38110563,-34.60135531,PASAJEROS,PEATON,PEATON,MASCULINO,57,3,Miércoles,NO,22-23.59
2016-0085,1,2016-06-29,2016,6,29,22:00:00,22,AVENIDA,"RABANAL, FRANCISCO, INTENDENTE AV.",SI,"RABANAL, FRANCISCO, INTENDENTE AV. y EREZCANO",4,-58.42378834,-34.65734100,OTRO,CONDUCTOR,MOTO,MASCULINO,30,3,Miércoles,NO,22-23.59
2016-0086,1,2016-06-30,2016,6,30,16:10:00,16,AVENIDA,OLIVERA AV.,SI,"OLIVERA AV. y FALCON, RAMON L.,CNEL.",10,-58.48727942,-34.63652467,PASAJEROS,PEATON,PEATON,MASCULINO,75,4,Jueves,NO,15-17.59
2016-0087,1,2016-07-02,2016,7,3,00:10:00,0,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,NO,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y CASEROS AV.,1,-58.37864583,-34.62907067,OBJETO FIJO,CONDUCTOR,MOTO,MASCULINO,23,6,Sábado,SI,0-2.59
2016-0088,1,2016-07-11,2016,7,11,15:30:00,15,CALLE,CERETTI,SI,CERETTI y NUÃ‘EZ,12,-58.50151750,-34.56767549,AUTO,PEATON,PEATON,FEMENINO,70,1,Lunes,NO,15-17.59
2016-0089,1,2016-07-14,2016,7,14,06:40:00,6,AUTOPISTA,"LUGONES, LEOPOLDO AV.",SI,"LUGONES, LEOPOLDO AV. y LA PAMPA",13,-58.43233425,-34.55185825,AUTO,PEATON,PEATON,MASCULINO,35,4,Jueves,NO,6-8.59
2016-0090,1,2016-07-14,2016,7,14,22:00:00,22,AVENIDA,"SALGUERO, JERONIMO",SI,"SALGUERO, JERONIMO y RIVADAVIA AV.",5,-58.41971993,-34.61112240,PASAJEROS,PEATON,PEATON,MASCULINO,60,4,Jueves,NO,22-23.59
2016-0092,1,2016-07-15,2016,7,15,11:00:00,11,GRAL PAZ,"PAZ, GRAL. AV.",SI,"PAZ, GRAL. AV. y DEL LIBERTADOR AV.",13,-58.46743471,-34.53476874,CARGAS,CONDUCTOR,MOTO,MASCULINO,24,5,Viernes,NO,9-11.59
2016-0093,1,2016-07-17,2016,7,17,03:30:00,3,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",SI,"ALBERDI, JUAN BAUTISTA AV. y MITRE, EMILIO",6,-58.44362126,-34.62301748,AUTO,CONDUCTOR,AUTO,MASCULINO,35,7,Domingo,SI,3-5.59
2016-0095,1,2016-07-23,2016,7,23,06:12:00,6,AVENIDA,MERCEDES,SI,MERCEDES y MOSCONI GENERAL AV.,11,-58.51713095,-34.59546519,AUTO,CONDUCTOR,MOTO,MASCULINO,29,6,Sábado,SI,6-8.59
2016-0096,1,2016-07-25,2016,7,25,07:00:00,7,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,NO,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,8,-58.47433193007387,-34.66684950051973,CARGAS,CONDUCTOR,MOTO,MASCULINO,30,1,Lunes,NO,6-8.59
2016-0097,1,2016-07-26,2016,7,26,18:45:00,18,CALLE,SOLIS,SI,SOLIS y MEXICO,1,-58.39038605,-34.61562810,AUTO,PEATON,PEATON,MASCULINO,80,2,Martes,NO,18-21.59
2016-0098,1,2016-07-27,2016,7,27,16:08:00,16,AVENIDA,SAN JUAN AV.,SI,SAN JUAN AV. y ALBERTI,3,-58.40042405,-34.62356174,CARGAS,CONDUCTOR,MOTO,FEMENINO,43,3,Miércoles,NO,15-17.59
2016-0099,1,2016-07-29,2016,7,29,16:00:00,16,GRAL PAZ,MOSCONI GENERAL AV.,SI,"MOSCONI GENERAL AV. y PAZ, GRAL. AV.",11,-58.52340614,-34.59798754,CARGAS,CONDUCTOR,CARGAS,MASCULINO,45,5,Viernes,NO,15-17.59
2016-0100,1,2016-08-03,2016,8,3,23:27:00,23,GRAL PAZ,"PAZ, GRAL. AV.",SI,"PAZ, GRAL. AV. y DONADO",12,-58.49491054,-34.54795581,OBJETO FIJO,CONDUCTOR,MOTO,MASCULINO,57,3,Miércoles,NO,22-23.59
2016-0101,1,2016-08-07,2016,8,7,19:42:00,19,GRAL PAZ,"PAZ, GRAL. AV.",SI,"PAZ, GRAL. AV. y CHAVEZ, JORGE",9,-58.52932872,-34.65014993,AUTO,CONDUCTOR,MOTO,MASCULINO,67,7,Domingo,SI,18-21.59
2016-0102,1,2016-08-10,2016,8,10,23:37:00,23,AVENIDA,"PERON, EVA AV.",SI,"PERON, EVA AV. y SUAREZ, JOSE LEON",9,-58.50011639,-34.67316502,CARGAS,CONDUCTOR,MOTO,MASCULINO,29,3,Miércoles,NO,22-23.59
2016-0104,1,2016-08-14,2016,8,14,21:15:00,21,AVENIDA,ZINNY,SI,ZINNY y SANTIAGO DE COMPOSTELA AV.,9,-58.46635001,-34.65624369,PASAJEROS,CONDUCTOR,MOTO,MASCULINO,21,7,Domingo,SI,22-23.59
2016-0105,1,2016-08-17,2016,8,17,00:05:00,0,AVENIDA,"LACROZE, FEDERICO AV.",SI,"LACROZE, FEDERICO AV. y FRAGA",15,-58.45343236,-34.58435809,PASAJEROS,PEATON,PEATON,MASCULINO,19,3,Miércoles,NO,0-2.59
2016-0106,1,2016-08-19,2016,8,19,21:02:00,21,AVENIDA,"PELLEGRINI, CARLOS",SI,"PELLEGRINI, CARLOS y DEL LIBERTADOR AV.",1,-58.38090932,-34.58927731,PASAJEROS,PEATON,PEATON,MASCULINO,38,5,Viernes,NO,22-23.59
2016-0107,1,2016-08-20,2016,8,20,08:22:00,8,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,NO,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y DON PEDRO DE MENDOZA AV.,4,-58.37157668,-34.65429986,AUTO,CONDUCTOR,MOTO,MASCULINO,21,6,Sábado,SI,6-8.59
2016-0109,1,2016-08-24,2016,8,24,05:45:00,5,AUTOPISTA,AUTOPISTA PERITO MORENO,SI,AUTOPISTA PERITO MORENO y BARRAGAN,9,-58.52280139,-34.63659934,OBJETO FIJO,CONDUCTOR,AUTO,FEMENINO,53,3,Miércoles,NO,3-5.59
2016-0110,1,2016-08-24,2016,8,24,20:21:00,20,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",SI,"ALBERDI, JUAN BAUTISTA AV. y CARHUE",9,-58.51232237,-34.65903530,AUTO,PEATON,PEATON,MASCULINO,57,3,Miércoles,NO,18-21.59
2016-0111,1,2016-08-25,2016,8,25,09:30:00,9,AUTOPISTA,LUGONES,SI,LUGONES y LA PAMPA,15,-58.47461905,-34.57663634,CARGAS,CONDUCTOR,MOTO,MASCULINO,27,4,Jueves,NO,9-11.59
2016-0112,1,2016-08-27,2016,8,27,04:40:00,4,AUTOPISTA,AUTOPISTA 25 DE MAYO,SI,AUTOPISTA 25 DE MAYO y AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,1,-58.38268809,-34.62282019,OBJETO FIJO,CONDUCTOR,MOTO,MASCULINO,24,6,Sábado,SI,3-5.59
2016-0113,1,2016-08-27,2016,8,27,16:45:00,16,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",SI,"ALBERDI, JUAN BAUTISTA AV. y GUARDIA NACIONAL",9,-58.49603546,-34.64564271,PASAJEROS,PEATON,PEATON,FEMENINO,60,6,Sábado,SI,15-17.59
2016-0114,1,2016-08-31,2016,8,31,11:20:00,11,CALLE,"SALGUERO, JERONIMO",NO,"SALGUERO, JERONIMO 1410",14,-58.41848605,-34.59394733,CARGAS,CICLISTA,BICICLETA,FEMENINO,55,3,Miércoles,NO,9-11.59
2016-0115,1,2016-09-02,2016,9,2,11:50:00,11,CALLE,ARIAS,SI,ARIAS y TRONADOR,12,-58.48935041,-34.54917673,CARGAS,CONDUCTOR,MOTO,MASCULINO,30,5,Viernes,NO,9-11.59
2016-0116,1,2016-09-02,2016,9,2,20:20:00,20,AVENIDA,27 DE FEBRERO AV.,SI,27 DE FEBRERO AV. y ESCALADA AV.,8,-58.44451316,-34.68475866,AUTO,CONDUCTOR,MOTO,MASCULINO,30,5,Viernes,NO,18-21.59
2016-0117,1,2016-09-03,2016,9,3,15:30:00,15,AVENIDA,DEL LIBERTADOR AV.,SI,DEL LIBERTADOR AV. y TAGLE,14,-58.39936478,-34.58271474,AUTO,CONDUCTOR,AUTO,MASCULINO,43,6,Sábado,SI,15-17.59
2016-0118,1,2016-09-04,2016,9,4,03:30:00,3,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,NO,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI KM. 2.9,1,-58.37936704,-34.62694503,AUTO,CONDUCTOR,AUTO,MASCULINO,27,7,Domingo,SI,3-5.59
2016-0119,1,2016-09-04,2016,9,4,06:40:00,6,AVENIDA,"LARRALDE, CRISOLOGO AV.",SI,"LARRALDE, CRISOLOGO AV. y TRIUNVIRATO AV.",12,-58.49659234,-34.56353635,AUTO,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,30,7,Domingo,SI,6-8.59
2016-0122,1,2016-09-13,2016,9,13,07:10:00,7,AVENIDA,"PERON, EVA AV.",NO,"PERON, EVA AV. 4233",9,-58.47256391,-34.65194557,PASAJEROS,CICLISTA,BICICLETA,MASCULINO,49,2,Martes,NO,6-8.59
